crdc_id,leaid,ncessch,report_dis,discip_dis,report_race,discip_race,report_sex,discip_sex,counselors_fte,psych_fte,social_fte,nurses_fte,security_fte,law_fte
040031103144,0400311,040031103144,0,0,0,0,0,0,1,0,0,0,0,0
040031103186,0400311,040031103186,0,0,0,0,0,0,1,0,0,0,0,0
040031103189,0400311,040031103189,0,0,0,0,0,0,0,0,0,0,0,0
040031103292,0400311,040031103292,0,0,0,0,0,0,1,0,0,0,0,0
040031502217,0400315,040031502217,0,0,0,0,0,0,1,1,1,1,0,0
040031503318,0400315,040031503318,0,0,0,0,0,0,1,1,1,1,0,0
040031702202,0400317,040031702202,0,0,0,0,0,0,0,1,0,0,0,0
040031802203,0400318,040031802203,0,0,0,0,0,0,1,0,0,0,0,0
040032002227,0400320,040032002227,0,0,0,0,0,0,0,0,0,0,0,0
040032002576,0400320,040032002576,0,0,0,0,0,0,0,0,0,0,0,0
040032103565,0400321,040032103565,0,0,0,0,0,0,1,0,0,0,0,0
040032199999,0400321,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
040032202205,0400322,040032202205,0,0,0,0,0,0,0,0,0,0,0,0
040032302159,0400323,040032302159,0,0,0,0,0,0,0,0,0,0,0,0
040032602162,0400326,040032602162,0,0,0,0,0,0,0,1,0,0,0,0
040032702163,0400327,040032702163,0,0,1,1,0,0,1,0,0,0,0,1
040032702291,0400327,040032702291,0,0,1,0,0,0,0,0,0,0,0,0
040032702372,0400327,040032702372,0,0,0,0,0,0,0,0,0,0,0,0
040032802228,0400328,040032802228,0,0,0,0,0,0,0,0,0,0,0,0
040032903159,0400329,040032903159,0,0,0,0,0,0,1,1,0,0,0,0
040033002206,0400330,040033002206,0,0,0,0,0,0,1,0,1,0,0,0
040033202165,0400332,040033202165,0,0,0,0,0,0,0,0,0,0,0,0
040033901939,0400339,040033901939,0,0,0,0,0,0,0,0,0,0,0,0
040034001940,0400340,040034001940,0,0,0,0,0,0,1,1,0,0,0,0
040034302246,0400343,040034302246,0,0,0,0,0,0,0,0,0,0,0,0
040034303003,0400343,040034303003,0,0,0,0,0,0,0,0,0,0,0,0
040034403467,0400344,040034403467,0,0,0,0,0,0,0,0,0,0,0,0
040035002286,0400350,040035002286,0,0,0,0,0,0,0,1,0,0,0,0
040035102148,0400351,040035102148,0,0,0,0,0,0,1,0,0,0,0,0
040035201898,0400352,040035201898,0,0,0,0,1,1,0,0,0,0,0,0
040035301896,0400353,040035301896,0,0,0,0,1,1,1,0,0,0,0,1
040035401733,0400354,040035401733,0,0,0,0,0,0,0,0,0,0,0,0
040035501734,0400355,040035501734,0,0,0,0,0,0,0,0,0,0,0,1
040035602287,0400356,040035602287,0,0,0,0,0,0,0,0,0,0,0,0
040035701732,0400357,040035701732,0,0,0,0,0,0,0,0,0,0,0,0
040035902292,0400359,040035902292,0,0,0,0,0,0,0,0,0,0,0,0
040036102299,0400361,040036102299,0,0,0,0,0,0,1,0,0,1,0,0
040036103165,0400361,040036103165,0,0,0,0,0,0,1,0,0,1,0,0
040036103312,0400361,040036103312,0,0,0,0,0,0,0,0,0,1,0,0
040036302300,0400363,040036302300,0,0,0,0,0,0,0,0,0,0,0,0
040036400804,0400364,040036400804,0,0,0,0,0,0,1,0,0,0,0,0
040036402985,0400364,040036402985,0,0,0,0,0,0,1,0,0,0,0,0
040036602302,0400366,040036602302,1,1,0,0,1,1,0,0,0,0,0,0
040036702303,0400367,040036702303,0,0,0,0,0,0,1,0,0,0,0,0
040036703531,0400367,040036703531,0,0,0,0,0,0,1,0,0,0,0,0
040036802037,0400368,040036802037,0,0,0,0,0,0,0,0,0,0,0,0
040037001597,0400370,040037001597,0,0,0,0,0,0,0,0,0,0,0,0
040037302311,0400373,040037302311,0,0,0,0,0,0,0,0,0,0,0,0
040037302397,0400373,040037302397,0,0,0,0,0,0,0,0,0,0,0,0
040037302889,0400373,040037302889,0,0,0,0,0,0,0,0,0,0,0,0
040037302936,0400373,040037302936,0,0,0,0,0,0,0,0,0,0,0,0
040037402169,0400374,040037402169,0,0,0,0,0,0,0,0,0,0,0,0
040037602313,0400376,040037602313,0,0,0,0,0,0,0,0,0,0,1,0
040037702314,0400377,040037702314,0,0,0,0,0,0,0,0,0,0,0,0
040038102319,0400381,040038102319,0,0,0,0,0,0,0,0,0,0,0,0
040038102866,0400381,040038102866,0,0,0,0,0,0,0,0,0,0,0,0
040038202331,0400382,040038202331,0,0,0,0,0,0,1,0,0,0,0,0
040038401899,0400384,040038401899,0,0,0,0,0,0,0,0,0,0,1,0
040038502016,0400385,040038502016,0,0,0,0,0,0,0,0,0,0,0,1
040038601894,0400386,040038601894,0,0,0,0,0,0,0,0,0,0,0,0
040038701735,0400387,040038701735,0,0,0,0,0,0,0,0,0,0,0,0
040038801736,0400388,040038801736,0,0,0,0,1,0,0,0,0,0,0,1
040038901737,0400389,040038901737,0,0,0,0,0,0,1,0,0,0,1,0
040039103074,0400391,040039103074,0,0,0,0,0,0,0,0,0,0,1,0
040039302297,0400393,040039302297,0,0,0,0,0,0,0,1,0,0,0,0
